"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"ID"
5,1;-3;1,4;9;"setosa";1
4,9;-3;1,4;9;"setosa";2
4,7;-3;1,3;9;"setosa";3
4,6;-3;1,5;9;"setosa";4
5;-3;1,4;9;"setosa";5
5,4;-3;1,7;9;"setosa";6
4,6;-3;1,4;9;"setosa";7
5;-3;1,5;9;"setosa";8
4,4;-3;1,4;9;"setosa";9
4,9;-3;1,5;9;"setosa";10
5,4;-3;1,5;9;"setosa";11
4,8;-3;1,6;9;"setosa";12
4,8;-3;1,4;9;"setosa";13
4,3;-3;1,1;9;"setosa";14
5,8;-3;1,2;9;"setosa";15
5,7;-3;1,5;9;"setosa";16
5,4;-3;1,3;9;"setosa";17
5,1;-3;1,4;9;"setosa";18
5,7;-3;1,7;9;"setosa";19
5,1;-3;1,5;9;"setosa";20
5,4;-3;1,7;9;"setosa";21
5,1;-3;1,5;9;"setosa";22
4,6;-3;1;9;"setosa";23
5,1;-3;1,7;9;"setosa";24
4,8;-3;1,9;9;"setosa";25
5;-3;1,6;9;"setosa";26
5;-3;1,6;9;"setosa";27
5,2;-3;1,5;9;"setosa";28
5,2;-3;1,4;9;"setosa";29
4,7;-3;1,6;9;"setosa";30
4,8;-3;1,6;9;"setosa";31
5,4;-3;1,5;9;"setosa";32
5,2;-3;1,5;9;"setosa";33
5,5;-3;1,4;9;"setosa";34
4,9;-3;1,5;9;"setosa";35
5;-3;1,2;9;"setosa";36
5,5;-3;1,3;9;"setosa";37
4,9;-3;1,4;9;"setosa";38
4,4;-3;1,3;9;"setosa";39
5,1;-3;1,5;9;"setosa";40
5;-3;1,3;9;"setosa";41
4,5;-3;1,3;9;"setosa";42
4,4;-3;1,3;9;"setosa";43
5;-3;1,6;9;"setosa";44
5,1;-3;1,9;9;"setosa";45
4,8;-3;1,4;9;"setosa";46
5,1;-3;1,6;9;"setosa";47
4,6;-3;1,4;9;"setosa";48
5,3;-3;1,5;9;"setosa";49
5;-3;1,4;9;"setosa";50
7;-3;4,7;9;"versicolor";51
6,4;-3;4,5;9;"versicolor";52
6,9;-3;4,9;9;"versicolor";53
5,5;-3;4;9;"versicolor";54
6,5;-3;4,6;9;"versicolor";55
5,7;-3;4,5;9;"versicolor";56
6,3;-3;4,7;9;"versicolor";57
4,9;-3;3,3;9;"versicolor";58
6,6;-3;4,6;9;"versicolor";59
5,2;-3;3,9;9;"versicolor";60
5;-3;3,5;9;"versicolor";61
5,9;-3;4,2;9;"versicolor";62
6;-3;4;9;"versicolor";63
6,1;-3;4,7;9;"versicolor";64
5,6;-3;3,6;9;"versicolor";65
6,7;-3;4,4;9;"versicolor";66
5,6;-3;4,5;9;"versicolor";67
5,8;-3;4,1;9;"versicolor";68
6,2;-3;4,5;9;"versicolor";69
5,6;-3;3,9;9;"versicolor";70
5,9;-3;4,8;9;"versicolor";71
6,1;-3;4;9;"versicolor";72
6,3;-3;4,9;9;"versicolor";73
6,1;-3;4,7;9;"versicolor";74
6,4;-3;4,3;9;"versicolor";75
6,6;-3;4,4;9;"versicolor";76
6,8;-3;4,8;9;"versicolor";77
6,7;-3;5;9;"versicolor";78
6;-3;4,5;9;"versicolor";79
5,7;-3;3,5;9;"versicolor";80
5,5;-3;3,8;9;"versicolor";81
5,5;-3;3,7;9;"versicolor";82
5,8;-3;3,9;9;"versicolor";83
6;-3;5,1;9;"versicolor";84
5,4;-3;4,5;9;"versicolor";85
6;-3;4,5;9;"versicolor";86
6,7;-3;4,7;9;"versicolor";87
6,3;-3;4,4;9;"versicolor";88
5,6;-3;4,1;9;"versicolor";89
5,5;-3;4;9;"versicolor";90
5,5;-3;4,4;9;"versicolor";91
6,1;-3;4,6;9;"versicolor";92
5,8;-3;4;9;"versicolor";93
5;-3;3,3;9;"versicolor";94
5,6;-3;4,2;9;"versicolor";95
5,7;-3;4,2;9;"versicolor";96
5,7;-3;4,2;9;"versicolor";97
6,2;-3;4,3;9;"versicolor";98
5,1;-3;3;9;"versicolor";99
5,7;-3;4,1;9;"versicolor";100
6,3;-3;6;9;"virginica";101
5,8;-3;5,1;9;"virginica";102
7,1;-3;5,9;9;"virginica";103
6,3;-3;5,6;9;"virginica";104
6,5;-3;5,8;9;"virginica";105
7,6;-3;6,6;9;"virginica";106
4,9;-3;4,5;9;"virginica";107
7,3;-3;6,3;9;"virginica";108
6,7;-3;5,8;9;"virginica";109
7,2;-3;6,1;9;"virginica";110
6,5;-3;5,1;9;"virginica";111
6,4;-3;5,3;9;"virginica";112
6,8;-3;5,5;9;"virginica";113
5,7;-3;5;9;"virginica";114
5,8;-3;5,1;9;"virginica";115
6,4;-3;5,3;9;"virginica";116
6,5;-3;5,5;9;"virginica";117
7,7;-3;6,7;9;"virginica";118
7,7;-3;6,9;9;"virginica";119
6;-3;5;9;"virginica";120
6,9;-3;5,7;9;"virginica";121
5,6;-3;4,9;9;"virginica";122
7,7;-3;6,7;9;"virginica";123
6,3;-3;4,9;9;"virginica";124
6,7;-3;5,7;9;"virginica";125
7,2;-3;6;9;"virginica";126
6,2;-3;4,8;9;"virginica";127
6,1;-3;4,9;9;"virginica";128
6,4;-3;5,6;9;"virginica";129
7,2;-3;5,8;9;"virginica";130
7,4;-3;6,1;9;"virginica";131
7,9;-3;6,4;9;"virginica";132
6,4;-3;5,6;9;"virginica";133
6,3;-3;5,1;9;"virginica";134
6,1;-3;5,6;9;"virginica";135
7,7;-3;6,1;9;"virginica";136
6,3;-3;5,6;9;"virginica";137
6,4;-3;5,5;9;"virginica";138
6;-3;4,8;9;"virginica";139
6,9;-3;5,4;9;"virginica";140
6,7;-3;5,6;9;"virginica";141
6,9;-3;5,1;9;"virginica";142
5,8;-3;5,1;9;"virginica";143
6,8;-3;5,9;9;"virginica";144
6,7;-3;5,7;9;"virginica";145
6,7;-3;5,2;9;"virginica";146
6,3;-3;5;9;"virginica";147
6,5;-3;5,2;9;"virginica";148
6,2;-3;5,4;9;"virginica";149
5,9;-3;5,1;9;"virginica";150
5,4;-3;1,7;9;"setosa";151
5,1;-3;1,5;9;"setosa";152
4,6;-3;1;9;"setosa";153
5,1;-3;1,7;9;"setosa";154
4,8;-3;1,9;9;"setosa";155
5;-3;1,6;9;"setosa";156
5;-3;1,6;9;"setosa";157
5,2;-3;1,5;9;"setosa";158
5,2;-3;1,4;9;"setosa";159
4,7;-3;1,6;9;"setosa";160
4,8;-3;1,6;9;"setosa";161
5,4;-3;1,5;9;"setosa";162
5,2;-3;1,5;9;"setosa";163
5,5;-3;1,4;9;"setosa";164
4,9;-3;1,5;9;"setosa";165
5;-3;1,2;9;"setosa";166
5,5;-3;1,3;9;"setosa";167
4,9;-3;1,4;9;"setosa";168
4,4;-3;1,3;9;"setosa";169
5,1;-3;1,5;9;"setosa";170
